,soal,jawaban,no_urut,file_pdf,halaman
142,"#143. If p < x < q and r < y < s and you know that x >y is true, which of the following options is correct? ","#143. The correct answer is D. If x > y, then r < y < x< q, so r < q is true.",143.0,easy1,36.0
143,"#144. What number should replace the question mark?; 5, 4, 1, 1, 3, -2, 3, ?, -2",#144. The correct answer is 5. Divide the sequence ingroups of three numbers. Every third number is calculated bysubtracting the second number from the ﬁrst.,144.0,easy1,36.0
144,#145. Which number should replace the question markbelow?; 8 20 5 32 40 4; 2 80 10 16 1 ?,#145. The correct answer is 160. The result ofmultiplying the two numbers inside every triangle is 160.,145.0,easy1,37.0
145,#146. What is the minimum number of circles to bemoved in order to convert the left ﬁgure into the right ﬁgure?; ,#146. The correct answer is 3. Move the circle from theﬁrst line to the second and move two circles from the fourthline to the second and the ﬁfth lines.,146.0,easy1,37.0
146,#147. All attendees to a party are introduced to oneanother. 21 handshakes are made in total. How many peopleare attending the party? ,"#147. The correct answer is 7. Using n as the totalnumber of people, the ﬁrst person handshakes n-1 people, thesecond n-2 people, etc. The result is the sum of the ﬁrst n-1consecutive numbers: 1+2+3+...+(n-1).",147.0,easy1,37.0
147,"#148. In a small town, 60% of the inhabitants have acar and 10% have a car and are males. What percentage ofthe population are females and have a car? ",#148. The correct answer is B. 50% (60 - 10) of theinhabitants are women and have a car.,148.0,easy1,37.0
148,#149. Which of the following ﬁgures does not belong tothe group? ,#149. The correct answer is A. It is the only ﬁgure withall lines of equal length.; ,149.0,easy1,38.0
149,#150. The slices below have some kind of relation.Which is the missing slice in the circle below? ,"#150. The correct answer is B. All numbers of eachslice, when added to the ones of the opposite slice, add always10.",150.0,easy1,38.0
150,#151. How many line segments in total are in theﬁgures below? A line segment is a line between two pointswith no crossing lines. ,#151. The correct answer is 36. There are 15 lines inthe ﬁgure to the left and 21 in the ﬁgure to the right.,151.0,easy1,38.0
151,#152. John needs 84 hours to clean a warehouse andhis friend needs half as many . How many hours would it takethem to clean up the warehouse if they worked together?,#152. The correct answer is D. John cleans at the speedof 1 / 84 per hour and his friend at 1 / 42. T ogether they willneed 28 hours.,152.0,easy1,38.0
152,"#153. If some pictures are ﬁrst attempts and no ﬁrstattempts are really good, which of the following conclusions iscorrect? ",#153. The correct answer is A.,153.0,easy1,39.0
153,"#154. The next sequence follows a logic. What numbershould replace the question mark?; 6, 21, 66, 201, 606, ?; ",#154. The correct answer is 1821. Every number in thesequence is the result of adding 1 to the previous number andmultiplying it by 3.,154.0,easy1,39.0
154,#155. John's mother's brother's brother-in-law is also?Do not assume that John has any relative that has not beenmentioned. ,"#155. The correct answer is D. The brother's brother-in-law is John's mother's husband, that is, John's father.",155.0,easy1,39.0
155,#156. A ﬁle is protected by a password formed by a 2digits represented in base 8 (ranging from 0 to 7). How manydiﬀerent passwords can you have?,#156. The correct answer is 64. Every digit has 8possibilities. The total number of possibilities is 8 at the powerof 2.,156.0,easy1,39.0
156,"#157. Out of 40 people, 16 have brothers, 13 havesisters and 6 have both. How many people have neitherbrothers nor sisters? ","#157. The correct answer is 17. It is calculated bytaking the total number of people minus 10 people that havebrothers only, minus 7 that have sisters only and minus 6 thathave sisters and brothers.",157.0,easy1,40.0
157,#158. What is the result of the equation below?; 2 * 4 + 2 * 5 - 3 = ?; ,"#158. The correct answer is 15. The order ofarithmetical operations is always as follows: exponents androots, multiplication and division, addition and subtraction.",158.0,easy1,40.0
158,"#159. Which three pieces can you use together to builda triangle? Answer using the three ﬁgure names, e.g.: ABC.; ",#159. The correct answer is EDC.,159.0,easy1,40.0
159,#160. John's father's sister's sister-in-law is also? Do notassume that John has any relative that has not beenmentioned. ,"#160. The correct answer is D. The sister's sister-in-lawis John's father's wife, that is, John's mother.",160.0,easy1,40.0
160,#161. T o what number should the large handle of the'Figure D' clock point? Answer using numbers.; ,"#161. The correct answer is 3. Starting from the ﬁrstclock, add 5 to the number obtained by appending the valuesto which the hands point. For example, the value of the handsfor 'Figure D' is 63 (58 + 5).; ",161.0,easy1,41.0
161,#162. How much weight is needed at the pointindicated by the question mark to balance the lever?; ?10; ,#162. The correct answer is 20. A lever is in equilibriumwhen the objects placed on it are at a distances reciprocallyproportional to their weights.,162.0,easy1,41.0
162,#163. The average of three numbers is 32. The averageof two of these numbers is 29. What is the third number?,#163. The correct answer is D. It is the result of theoperation: (32 * 3) - (29 * 2).,163.0,easy1,41.0
163,#164. John's shop had sales of 84 monetary units. Thiswas an increase of 12% over last month. What were lastmonth sales?; ,#164. The correct answer is 75.,164.0,easy1,41.0
164,#165. The ﬁgures and the texts are related. What textshould go under the last ﬁgure?; CDE ACF BDF; ABE ?,"#165. The correct answer is ABF. 'A' indicates that theﬁgures overlap, 'B' that are squares, 'C' that are circles, 'D'that the ﬁgures are separated, 'E' that there are three ﬁguresand 'F' that there are two ﬁgures.",165.0,easy1,42.0
165,#166. What is the next logical sequence of objects inthe last column? ,#166. The correct answer is C. It is the onlycombination that you can build with the given elementswithout repeating them.,166.0,easy1,42.0
166,#167. John needs 42 hours to clean a warehouse andhis friend needs twice as many . How many hours would it takethem to clean up the warehouse if they worked together?,#167. The correct answer is C. John cleans at the speedof 1 / 42 per hour and his friend at 1 / 84. T ogether they willneed 28 hours.,167.0,easy1,42.0
167,"#168. A train leaves the station traveling at 40 mph. 6hours later a second train leaves the station traveling in thesame direction at 70 mph. How many hours does it take thesecond train, since it starts moving, to overtake the ﬁrst train?",#168. The correct answer is 8. You can calculate theanswer by multiplying the speed of the ﬁrst train by the timeand dividing it by the diﬀerence of speeds.,168.0,easy1,42.0
168,"#169. In a tennis tournament, in every match a playeris eliminated after losing to a single opponent. How manymatches does it take to determine the winner of a tennistournament that starts with 60 players? ","#169. The correct answer is 59. In every match youeliminate one player. Therefore, the result is the total numberof player minus one.",169.0,easy1,43.0
169,#170. One of the numbers in the grid must be circled.Which one?; 77 93 80 47; 51 35 52 95; 27 99 71 60; 61 8 57 78; ,#170. The correct answer is 93. Every circled numbercan be divided by 3.,170.0,easy1,43.0
170,#171. How many four sided ﬁgures do you count in theﬁgure below? ,"#171. The correct answer is 13. The four sided ﬁguresare made by connecting the following points: abed, dehg,bcfe, eﬁh, acfd, dﬁg, abhg, bcih, acig, aghe, aefc, deig, bcie.",171.0,easy1,43.0
171,#172. What is the minimum number of square sheetsof paper of any size required to create the ﬁgure? Linesindicate frontiers between diﬀerent sheets.,"#172. The correct answer is 4. A full sized square ofpaper (yellow), a 3/4 of the whole size square of paper (blue)in the bottom right corner, another 3/4 square of paper(green) in the top left corner and a 1/4 square of paper (red)in the top left corner.",172.0,easy1,43.0
172,#173. How many degrees rotates the minute hand of aclock in 2 hours 40 minutes? ,#173. The correct answer is 960. Every hour rotates360 degrees.; ,173.0,easy1,44.0
173,#174. The letters around the squares follow a pattern.Which letter should replace the question mark in the lastsquare?; C HMR; A FKPB; GL?; ,#174. The correct answer is Q. Every letter is calculatedby taking the alphabetical position of the previous characterand adding 5 to it in order to get the position of the nextletter.,174.0,easy1,44.0
174,#175. What is the maximum number of circles (asshown) that ﬁt in the square below?; 8 units8 units1 unit1 unit,#175. The correct answer is 68. Using the above layout0.134 units of height are gained per row leaving enoughspace for an additional row.,175.0,easy1,44.0
175,"#176. Using triangles only, how many triangles areneeded in the right part of the last ﬁgure to keep it balanced?; ?",#176. The correct answer is 7. Every circle is equivalentto two triangles and every square to three triangles.,176.0,easy1,44.0
176,"#177. When you fold the ﬁgure below as a cube, whichface on the ﬁgure is opposite the face with a 1 drawn on it?Answer the number written on the face.; 1 2; 3 4 5; 6",#177. The correct answer is 4.,177.0,easy1,45.0
177,#178. How many boxes measuring 1 x 1 x 0.5 can beﬁt into a container measuring 6 x 5 x 4?; ContainerBox; ,#178. The correct answer is 240. You can ﬁt 6 * 5 * 4 *2 boxes.,178.0,easy1,45.0
178,#179. Which circle does not belong to the group? It isnot a sequence of elements. ,#179. The correct answer is B. In all circles the colorslices follow the same order except for this one.,179.0,easy1,45.0
179,"#180. You have two trucks that have a total weight of420 units. If the lighter truck weights 15 units less that half ofthe weight of the heavier truck, what is the weight of thelighter truck? ",#180. The correct answer is D. The heavier truckweights 290 and the lighter 130.,180.0,easy1,45.0
180,#181. How many triangles of any size do you count inthe ﬁgure below? ,"#181. The correct answer is 8. The triangles are madeby connecting the following points: dcf, ade, acg, afg, ecg,acd, acf, ace.",181.0,easy1,46.0
181,"#182. Given two integer numbers x and y, if x is evenand y odd, which of the following expressions gives always anodd result? ","#182. The correct answer is D. Multiplication of twoeven numbers always produces an even number, so xmultiplied by 2 is even. Adding an odd number (y) to thateven number always produces an odd number.",182.0,easy1,46.0
182,"#183. 1991 is a palindromic year as 2002 is, a gap of11 years. What are the next two consecutive palindromicyears after 2002 with the same gap? Answer using twonumbers (e.g.: 1991 and 2002). ","#183. The correct answer is 2992 and 3003. From year1000 to year 10000, palindrome years occur at 110 yearintervals except for the end of each millennium that occur at a11 years interval.",183.0,easy1,46.0
183,#184. What percentage of the ﬁgure is colored?,#184. The correct answer is 35.,184.0,easy1,46.0
184,#185. John is 46 years old. His son is 5 years youngerthan half of John's age. How old is John's son? ,"#185. The correct answer is 18. John's son age isnowadays half of John's age minus 5, that is, (46 / 2) - 5.; ",185.0,easy1,47.0
185,#186. Which of the following ﬁgures has the largestarea? ,#186. The correct answer is B.,186.0,easy1,47.0
186,"#187. A group of people, spaced out evenly, are sittingat a round table. How many people are there if the 5th personsits directly across from the 19th?; Two people in the table sitting across from each other",#187. The correct answer is 28. Subtracting the twopositions you ﬁnd out how many people are seated half wayaround the table. Doubling this number leaves you with thetotal amount of people.,187.0,easy1,47.0
187,#188. You have 100 monetary units in your bankaccount at 10% interest compounded annually . How muchmoney will you have at the end of 2 years?; ,#188. The correct answer is 121. Compound interest ispaid on the principal plus any past interest accumulated.,188.0,easy1,47.0
188,#189. Which of the possible divisors is the greatest thatdivides all numbers? ,#189. The correct answer is C.,189.0,easy1,48.0
189,#190. What is the probability of getting a '2' or a '6' ina single throw of an unmodiﬁed 6 sided die? Answer using afraction (e.g.: 1/2).; ,#190. The correct answer is 1/3. There are 2 of 6possibilities.,190.0,easy1,48.0
190,#191. Which two numbers of the list below are bothmultiple of 2 and 15? ,#191. The correct answer is C. 450 and 60 are bothmultiples of 2 and 15.,191.0,easy1,48.0
191,#192. How many circles do you count?,#192. The correct answer is 8.,192.0,easy1,48.0
192,#193. Which two numbers have a sum of 48 and havea ratio of 2 to 6? Answer using two numbers (e.g.: 1 and 2).; x + y = 48have a ratio of 2:6,#193. The correct answer is 12 and 36. The secondnumber can be calculated by multiplying the ﬁrst number by6 and dividing it by 2.,193.0,easy1,49.0
193,#194. I go south on an evening when the sun shines.T o which side of me will my shadow fall? ,#194. The correct answer is D. If I go south then east isto my left and in the evening the shadow falls east.,194.0,easy1,49.0
194,"#195. Given the numbers: 38, 44, 50. Which of thefollowing numbers is closest to the average? ",#195. The correct answer is B. The result of theoperation is 44.,195.0,easy1,49.0
195,#196. Which is the next logical ﬁgure in the sequence?,"#196. The correct answer is A. From ﬁrst ﬁgure, the topcircle advances by two positions clockwise, while the left circlegoes backwards one position.",196.0,easy1,49.0
196,#197. Which two numbers when added are 17 andwhen multiplied are 72? Answer using two numbers (e.g.: 1and 2).; x + y = 17x * y = 72,#197. The correct answer is 9 and 8.; ,197.0,easy1,50.0
197,#198. Which square completes the ﬁgure below?,"#198. The correct answer is A. In every row the thirdsquare is made by ﬂipping the ﬁrst square and superimposingit on the second square, followed by removing the matchinglines.",198.0,easy1,50.0
198,"#199. In the list of numbers below, what is the sum ofall the numbers with a value greater than 2? ",#199. The correct answer is A.,199.0,easy1,50.0
199,#200. Which of the possible answers have the most incommon with the four given ﬁgures? ,#200. The correct answer is D. It has the same numberof elements inside the ﬁgure as the given ﬁgures.,200.0,easy1,50.0
